"Titel","Album titel","Brødtekst","SKU","Pris","Udgivet","Sti"
"Agent Fresco","A Long Time Listening","","RECD009","6000","1",""
"Ajuna","Death In The Shape Of Winter EP"," <p>Ajuna er den første metal/hardcore udgivelse der er kommet på Neh-Owh Records. Fra Københavns Nordvest kvarter kommer Ajuna med en D.I.Y spirit og med en super fornemmelse for både energien i ekstremmetal og stemningsmættede nærmest shoegaizer agtige stemningsflader. Pladen udkommer i et super lækkert og stramt design. I vanlig kompromisløs stil som gennemsigtig 5 nummer vinyl der passer perfekt til det minimalistiske coverdesign.</p>
<p>Part of review from webside Forever Cursed<br />
""Ajuna is a Copenhagen, Denmark, based quintet, dedicated to grey toned harsh music since 2009. Hard working and committed to assault both listener and live audience, they have earned the reputation of being a rather chaotic and aggressive act live. They assimilate a lot of genres, like black metal, shoegaze, post rock, post hardcore and maybe some post metal side to it too. It all results in this great post experimental blend that culminates in this energetic atmosphere. The sound of Ajuna is indeed fresh and it has that nordic european touch attached to their sound that i personally love.""</p>
<p>Mere info om Ajuna her: <a href=""http://neh-owh.com/ajuna/"">http://neh-owh.com/ajuna/</a></p>
 ","NA76","5000","1","http://rillbar.dk/sites/default/files/Ajuna.jpg"
"ALARM 112","ALARM 112"," <p>Alarm112 blev dannet i 1995, og orkesterets unikke lydunivers er udviklet i en fortløbende proces, udfra arbejdet med kasualisme og grundforskning i lyde og støj. Metoden er fri improvisation, og der benyttes såvel akustiske, elektriske som elektroniske instrumenter, ialt 123 ifølge den originale pressemeddelelse. Men det afgørende er ikke hvad man hører, men hvordan det lyder. Det er en spraglet, søgende og swingende CD, der i videre perspektiv kommer til at fokusere på, hvordan man egentlig forholder sig til lyd, både som musiker og lytter. Den afdøde amerikanske avantgarde komponist John Cage er ikke nævnt på coveret, men hans ånd og anarkistiske lydfilosofi er alligevel i den grad til stede i musikken.</p>
<p>Cover af Søren RaagaardUdgivet maj 1998AV-Art records AACD 1005</p>
 ","AACD 1005","5000","1","http://rillbar.dk/sites/default/files/alarm112_cdcover.jpg"
"Alcoholic Faith Mission","421 Wythe Avenue"," <p>To ordbøger hamres sammen, lyden vibrerer igennem mikrofonen til computeren og bliver elektronisk masseret til stortromme over højtalerne. Musikkollektivet Alcoholic Faith Mission – mismodets praktikanter – har trukket en musikalsk spændetrøje over hovedet til indspilningen af deres andet album; dogmet lyder, at de kun må bruge de remedier, der er i rummet, som instrumenter. Efter en anmelderrost første plade (Misery Loves Company, 2006) optaget i et soveværelse i København – altid om natten, i skæret fra stearinlys og under indtagelse af alkohol - drog Alcoholic Faith Mission i 2008 til Brooklyn. Her burede de sig i et halvt år inde på et ombygget fabriksloft for at optage deres anden plade 421 Wythe Avenue – adressen på fabriksloftet – med kvarteret gadestøj som ramme. Da musikkollektivet rejste til Brooklyn, vendte de tilbage til det kvarter, hvor bandets historie opstod. To år tidligere havde bandet vandret rundt i Brooklyns rå, vintergrå gader og talt om magt og afmagt, beruselse og alkoholisme, om nære familiemedlemmers våde deroute, da de pludselig så et stort neon-kors foran en menighed med navnet Apostolic Faith Mission. Netop sådan var sprutten for alkoholikeren, en tro mission for at holde en tom tilværelse ud; en Alcoholic Faith Mission. Det blev et halvt år efter til den underspillede debut Misery Loves Company, hvis lyd er blevet sammenlignet med José Gonzalez og Iron & Wine. Den aktuelle plade har med Brooklyn-opholdet givet Alcoholic Faith Mission et mere støjende elektronisk islæt inspireret af Brooklyn - og især den alternative canadiske rockscene i Toronto, herunder Broken Social Scene.</p>
 ","PONY21CD","4000","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_421wytheavenue_300w_web_jpg_300x306_crop_upscale_q95_1.jpg"
"Alcoholic Faith Mission","Let This Be The Last Night We Care"," <p>Mindre end et år efter udgivelsen af det anmelderroste album 421 Wythe Avenue er indiekollektivet Alcoholic Faith Mission klar med deres 3. album; Let This Be The Last Night We Care. 2009 blev året, hvor Alcoholic Faith Mission fik hul igennem. Fra at være totalt ukendte før udgivelsen af 421 Wythe Avenue i april ’09, kunne gruppen bare ni måneder senere ved årets afslutning se tilbage på tre succesfulde ture i Europe og spritnye pladekontrakter i Japan og USA. Udover at få fire numre på soundtracket til en canadisk film, havde knap 10.000 bloggere og musikjournalister fra hele verdenen taget bandet og pladen til deres hjerter – og de fine anmeldelser sendte 421 Wythe Avenue på mange Års Bedste-lister rundt omkring på kloden. Let This Be The Last Night We Care fortsætter lydmæssigt, hvor 421 Wythe Avenue slap; stadig med intensitet og dynamik, som både er blevet sammenlignet med bands som Arcade Fire og Broken Social Scene, men også med mere bløde acts som Bon Iver, Tunng og Iron & Wine. Alcoholic Faith Mission er en maskine af elektroniske synths og samples blandet med analoge og akustiske instrumenter som horn, guitar, perkussion, bas, trommer og store vokalarrangementer. 2009 var et fantastisk år for Alcoholic Faith Mission, og det bliver spændende at se hvordan 2010 vil forløbe. Let This Be The Last Night We Care udkommer 5. marts, og foruden to ture i Europa kommer bandet senere på året til både Japan og USA.</p>
 ","PONY29CD","4000","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_letthisbethenight_300w_web__jpg_300x306_crop_upscale_q95_0_0.jpg"
"Alcoholic Faith Mission","Let This Be The Last Night We Care"," <p>Mindre end et år efter udgivelsen af det anmelderroste album 421 Wythe Avenue er indiekollektivet Alcoholic Faith Mission klar med deres 3. album; Let This Be The Last Night We Care. 2009 blev året, hvor Alcoholic Faith Mission fik hul igennem. Fra at være totalt ukendte før udgivelsen af 421 Wythe Avenue i april ’09, kunne gruppen bare ni måneder senere ved årets afslutning se tilbage på tre succesfulde ture i Europe og spritnye pladekontrakter i Japan og USA. Udover at få fire numre på soundtracket til en canadisk film, havde knap 10.000 bloggere og musikjournalister fra hele verdenen taget bandet og pladen til deres hjerter – og de fine anmeldelser sendte 421 Wythe Avenue på mange Års Bedste-lister rundt omkring på kloden. Let This Be The Last Night We Care fortsætter lydmæssigt, hvor 421 Wythe Avenue slap; stadig med intensitet og dynamik, som både er blevet sammenlignet med bands som Arcade Fire og Broken Social Scene, men også med mere bløde acts som Bon Iver, Tunng og Iron & Wine. Alcoholic Faith Mission er en maskine af elektroniske synths og samples blandet med analoge og akustiske instrumenter som horn, guitar, perkussion, bas, trommer og store vokalarrangementer. 2009 var et fantastisk år for Alcoholic Faith Mission, og det bliver spændende at se hvordan 2010 vil forløbe. Let This Be The Last Night We Care udkommer 5. marts, og foruden to ture i Europa kommer bandet senere på året til både Japan og USA.</p>
 ","PONY29LP","4000","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_letthisbethenight_300w_web__jpg_300x306_crop_upscale_q95_0_0.jpg"
"Alcoholic Faith Mission","We Stop The World From Falling Apart"," <p>Siden 2009 har Alcoholic faith Mission udgivet 3 albums og 1 EP. Da bandet i 2013 indgik forhandlinger med det hæderkronede tyske pladeselskab Haldern Pop Recordings (Soundtrack of Our Lives, Shout Out Louds, William Fitzsimmons o.m.a) opstod lysten til at kigge tilbage på disse 3 albums og forsøge at finde en fælles lyd for alle disse sange. Der var en lyst til at genoplive udviklingen fra ""412 Wythe Avenue"" og optage-dogmerne fra indspilningen af ""Ask Me This"" med en topproducer i bag knapperne.</p>
<p>Jobbet blev lagt i hænderne på Brian Batz (Sleep Party People og Scarlet Chives) og Alcholic Faith Mission er mere end tilfredse med resultatet. Musikken er nu tættere end nogensinde på det udtryk som bandet har opnået gennem deres mere end 200 koncerter i Danmark og udlandet. </p>
 ","HPR-081","7500","1","http://rillbar.dk/sites/default/files/AFM_Cover_2500x2500_300dpi.jpg"
"Alcoholic Faith Mission","Ask Me This","","Pony36LP","7500","1","http://rillbar.dk/sites/default/files/images/alcoholicASKMETHIS.jpg"
"Alex Banks","Illuminate"," <p>Alex Banks er det nye vidunderbarn på Monkeytwon, som har udtalt er det er meget sjældent at de signer en deal på tre albums ud fra en anonym demo de har fået tilsendt. Men det er altså tilfældet med Alex Banks som netop har udgivet første album i rækken. Alex Banks lyd er meget følelsesskabende, men samtidigt også energisk og fremadrettet og vil på en gang kunne tiltale både fans af Dubstep samt Techno, mens Moderat fans også vil kun finde en tilfredstillelse i albummet. Sangerinden Elisabeth Bernholtz medvirker på flere af albummets numre og medvirker til at give det en dynamisk og organisk lyd. Hendes lyd minder til tider om Beth Gibbons, og første-singlen ""All You Could Do"" lyder da heller ikke helt ulig Portishead, måske i en lidt mere udadvendt og ungdommelig udgave.</p>
 ","MTR043LP","9000","1","http://www.youtube.com/watch?v=Cw3dJC5ZBWs"
"Alex Banks","Illuminate"," <p>Alex Banks er det nye vidunderbarn på Monkeytwon, som har udtalt er det er meget sjældent at de signer en deal på tre albums ud fra en anonym demo de har fået tilsendt. Men det er altså tilfældet med Alex Banks som netop har udgivet første album i rækken. Alex Banks lyd er meget følelsesskabende, men samtidigt også energisk og fremadrettet og vil på en gang kunne tiltale både fans af Dubstep samt Techno, mens Moderat fans også vil kun finde en tilfredstillelse i albummet. Sangerinden Elisabeth Bernholtz medvirker på flere af albummets numre og medvirker til at give det en dynamisk og organisk lyd. Hendes lyd minder til tider om Beth Gibbons, og første-singlen ""All You Could Do"" lyder da heller ikke helt ulig Portishead, måske i en lidt mere udadvendt og ungdommelig udgave.</p>
 ","MTR043LP","9000","1","http://rillbar.dk/sites/default/files/alex_banks_1.jpg"
