"Titel","Album titel","SKU","Pris","Udgivet","Sti","Sti","Nid","Format"
"1000LAX","1000LAX","FREEMV1","60,00 kr.","1","http://rillbar.dk/sites/default/files/images/1000LAX.jpg","1000LAX-1000LAX","3029","LP"
"127","Magnitizdat (Songs of Terror & Hope)","PHI011","55,00 kr.","1","http://rillbar.dk/sites/default/files/PHI011_-_127blue_gif_300x306_crop_upscale_q95.jpg","127-Magnitizdat (Songs of Terror & Hope)","3030","10""EP"
"3eme Sexe","Je T’aime Si Vous Voulez","ASM031","75,00 kr.","1","http://rillbar.dk/sites/default/files/3emesexe_jetaime_300w_web_jpg_300x306_crop_upscale_q95.jpg","3eme Sexe-Je T’aime Si Vous Voulez","3031","CD"
"A Hound Ensemble","S/T","NA90","75,00 kr.","1","http://www.youtube.com/watch?v=cnCAtlBVpRs","A Hound Ensemble-S/T","3032","LP"
"A Hound Ensemble","S/T","NA90","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/ahoundensemblecover.jpg","A Hound Ensemble-S/T","3032","LP"
"A Tree Of Night","A Tree Of Night","ORPH018","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/a_tree_of_night.png","A Tree Of Night-A Tree Of Night","3033","LP"
"Acid Plutonium","Acid Plutonium","ACID01","75,00 kr.","1","http://rillbar.dk/sites/default/files/acidplutonium_st_300w_web_jpg_300x306_crop_upscale_q95.jpg","Acid Plutonium-Acid Plutonium","3034","LP"
"Aerosol","Airborne","CATMD170","75,00 kr.","1","http://rillbar.dk/sites/default/files/aerosol_airborne_300w_web_jpg_300x306_crop_upscale_q95_0.jpg","Aerosol-Airborne","3035","CD"
"Afenginn","Lux","af02","100,00 kr.","1","http://www.youtube.com/watch?v=vSjvzWDVWjE","Afenginn-Lux","3036","LP"
"Afenginn","Lux","af02","100,00 kr.","1","http://rillbar.dk/sites/default/files/afenginn.jpg","Afenginn-Lux","3036","LP"
"Agent Fresco","A Long Time Listening","RECD009","60,00 kr.","1","","Agent Fresco-A Long Time Listening","3037","CD"
"Ajuna","Death In The Shape Of Winter EP","NA76","50,00 kr.","1","http://rillbar.dk/sites/default/files/Ajuna.jpg","Ajuna-Death In The Shape Of Winter EP","3038","LP"
"ALARM 112","ALARM 112","AACD 1005","50,00 kr.","1","http://rillbar.dk/sites/default/files/alarm112_cdcover.jpg","ALARM 112-ALARM 112","3039","CD"
