"Titel","Album titel","SKU","Pris","Udgivet","Sti","Sti","Nid","Format"
"Alcoholic Faith Mission","421 Wythe Avenue","PONY21CD","40,00 kr.","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_421wytheavenue_300w_web_jpg_300x306_crop_upscale_q95_1.jpg","Alcoholic Faith Mission-421 Wythe Avenue","3042","CD"
"Alcoholic Faith Mission","Let This Be The Last Night We Care","PONY29CD","40,00 kr.","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_letthisbethenight_300w_web__jpg_300x306_crop_upscale_q95_0_0.jpg","Alcoholic Faith Mission-Let This Be The Last Night We Care","3044","CD"
"Alcoholic Faith Mission","Let This Be The Last Night We Care","PONY29LP","40,00 kr.","1","http://rillbar.dk/sites/default/files/alcoholicfaithmission_letthisbethenight_300w_web__jpg_300x306_crop_upscale_q95_0_0.jpg","Alcoholic Faith Mission-Let This Be The Last Night We Care","3044","LP"
"Alcoholic Faith Mission","We Stop The World From Falling Apart","HPR-081","75,00 kr.","1","http://rillbar.dk/sites/default/files/AFM_Cover_2500x2500_300dpi.jpg","Alcoholic Faith Mission-We Stop The World From Falling Apart","3043","CD"
"Alcoholic Faith Mission","Ask Me This","Pony36LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/alcoholicASKMETHIS.jpg","Alcoholic Faith Mission-Ask Me This","3040","LP"
"Alex Banks","Illuminate","MTR043LP","90,00 kr.","1","http://www.youtube.com/watch?v=Cw3dJC5ZBWs","Alex Banks-Illuminate","3045","2 x LP"
"Alex Banks","Illuminate","MTR043LP","90,00 kr.","1","http://rillbar.dk/sites/default/files/alex_banks_1.jpg","Alex Banks-Illuminate","3045","2 x LP"
"Amalie Riis","Safe and Sound","SCM005","81,25 kr.","1","http://rillbar.dk/sites/default/files/amalieriis_safeandsound_300w_web_jpg_300x306_crop_upscale_q95_0.jpg","Amalie Riis-Safe and Sound","3046","CD"
"Amalie Riis","Blueprint","SCM017","40,00 kr.","1","http://rillbar.dk/sites/default/files/images/amalie_riis_blueprint.jpg","Amalie Riis-Blueprint","3047","CD"
"Amazing, The","The Amazing","XMLPSUB34","100,00 kr.","1","http://rillbar.dk/sites/default/files/theamazing_st_300w_web__jpg_300x306_crop_upscale_q95.jpg","Amazing, The-The Amazing","3049","LP"
"Amazing, The","Wait For A Light To Come","SUB069LP","95,00 kr.","1","http://rillbar.dk/sites/default/files/amazingwait.jpg","Amazing, The-Wait For A Light To Come","3048","LP"
"Amazing, The","Wait For A Light To Come","FP0048","60,00 kr.","1","","Amazing, The-Wait For A Light To Come","3553","CD"
"Amazing, The","Deportation Day","FP0038","10,00 kr.","1","","Amazing, The-Deportation Day","3551","CD"
"Amazing, The","Dragon","FP00xx01","10,00 kr.","1","","Amazing, The-Dragon","3554","CD"
"Amazing, The","The Amazing","FP0035","60,00 kr.","1","","Amazing, The-The Amazing","3552","CD"
"Amdi Petersens Armé","S/T","HS17-LP","81,25 kr.","1","","Amdi Petersens Armé-S/T","3050","LP"
"American Football","American Football","PRC-025LP","70,00 kr.","1","http://rillbar.dk/sites/default/files/AmericanFootball.jpg","American Football-American Football","3051","LP + MP3"
"Anchorless","Anchorless","PONY30LP","40,00 kr.","1","http://rillbar.dk/sites/default/files/anchorless_anchorless_300w_web_jpg_300x306_crop_upscale_q95.jpg","Anchorless-Anchorless","3052","12""EP"
"Anchorless","Every Nook and Cranny","PlayRec 41","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/anchorless_playrec41_hires.jpg","Anchorless-Every Nook and Cranny","3555","LP"
"Anders","In The Dark Hours ","Kommun2-13","90,00 kr.","1","http://rillbar.dk/sites/default/files/anders.jpg","Anders-In The Dark Hours ","3053","LP"
"Anders Thrane","Lysets hær og de ulykkelige skabningers skæbne","AnthLP0112","75,00 kr.","0","http://rillbar.dk/sites/default/files/images/AT_LH.jpg","Anders Thrane-Lysets hær og de ulykkelige skabningers skæbne","3054","LP"
"Anders Thrane","Lysets hær og de ulykkelige skabningers skæbne","AnthCD0112","53,00 kr.","0","http://rillbar.dk/sites/default/files/images/AT_LH.jpg","Anders Thrane-Lysets hær og de ulykkelige skabningers skæbne","3054","CD"
"Anders Thrane","Ildsjael","AnthCD0109","63,00 kr.","0","http://rillbar.dk/sites/default/files/images/at_ildsjael.jpg","Anders Thrane-Ildsjael","3055","CD"
"Anderskov Accident","Unity of Action","ILK106LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/anderskovaccident_unityofaction_300w_web_jpg_300x306_crop_upscale_q95.jpg","Anderskov Accident-Unity of Action","3057","LP"
"Anderskov Accident"," Full Circle","ILK178LP","75,00 kr.","1","","Anderskov Accident- Full Circle","3556","12"" LP"
"Andreas Führer","Obligatorisk undervisning","AF01","84,00 kr.","1","http://rillbar.dk/sites/default/files/andreasfuhrer.jpg","Andreas Führer-Obligatorisk undervisning","3058","12""LP"
"Anla Courtis","Psi Gtr Avalanche","SMK R 003","37,00 kr.","1","http://rillbar.dk/sites/default/files/anlacourtisthumb_jpg_300x306_crop_upscale_q95.jpg","Anla Courtis-Psi Gtr Avalanche","3059","7"""
"Annamy","Woodpecker","SUB-094-LP","100,00 kr.","1","http://rillbar.dk/sites/default/files/annamy.jpg","Annamy-Woodpecker","3060","LP"
"Antennas","Neanderthal","Nov0034","75,00 kr.","1","","Antennas-Neanderthal","3061","CD"
"Anti Ritual","S/T","Indisc03","50,00 kr.","1","http://rillbar.dk/sites/default/files/images/ANTI%20RITUAL_cover.jpg","Anti Ritual-S/T","3062","12"" EP"
"Antibalas","Antibalas (LP + MP3)","DAP028-LP","85,00 kr.","0","http://rillbar.dk/sites/default/files/antibalas-album-cover4-1024x1024.jpg","Antibalas-Antibalas (LP + MP3)","3063","LP+MP3"
"Antifilm","IO","S&W14LP","62,00 kr.","1","http://rillbar.dk/sites/default/files/antifilm_io_300w_web__jpg_300x306_crop_upscale_q95.jpg","Antifilm-IO","3065","LP"
"Antifilm","IO","S&W14CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/antifilm_io_300w_web__jpg_300x306_crop_upscale_q95_1.jpg","Antifilm-IO","3064","CD"
"Aron","Djævlens Horn","ORPH014","75,00 kr.","1","http://rillbar.dk/sites/default/files/AronDjavelens.jpg","Aron-Djævlens Horn","3067","LP"
"Aron","Testament From The Human Plantation","ORPH017","75,00 kr.","1","http://rillbar.dk/sites/default/files/aron_testament_300w_web_jpg_300x306_crop_upscale_q95.jpg","Aron-Testament From The Human Plantation","3066","LP"
"Artificial Limbs, The","The Artificial Limbs","NOV0003","25,00 kr.","1","http://rillbar.dk/sites/default/files/theartificiallimbs_st_300w_web_jpg_300x306_crop_upscale_q95.jpg","Artificial Limbs, The-The Artificial Limbs","3068","10""EP"
"Astro Black","Is Love the Blood of the Universe?","TONOM081","31,00 kr.","1","http://rillbar.dk/sites/default/files/astro_islovetheblood_300w_web_jpg_300x306_crop_upscale_q95.jpg","Astro Black-Is Love the Blood of the Universe?","3069","7"""
"Attilio Mineo","Man in Space with Sounds","SUB-081-LP","105,00 kr.","1","http://rillbar.dk/sites/default/files/Man_In_Space_With_Sounds_0.jpg","Attilio Mineo-Man in Space with Sounds","3070","LP"
"Attrap","House of Dreams","WAR002","32,00 kr.","1","http://rillbar.dk/sites/default/files/attrapcover_jpg_300x306_crop_upscale_q95_0.jpg","Attrap-House of Dreams","3071","CD-EP"
"Aucan  (LP)","Black Rainbow","FIR.Y03","93,75 kr.","1","http://rillbar.dk/sites/default/files/aucanbr_black_rainbow.jpg","Aucan  (LP)-Black Rainbow","3072","LP"
"Aucan  (LP)","Black Rainbow Remixes","FIR.Y21","93,75 kr.","1","http://rillbar.dk/sites/default/files/BLACK-RAINBOW-REMIXES-2012.jpg","Aucan  (LP)-Black Rainbow Remixes","3073","LP"
"Audionauts","Playing Space Shuttles","skr-019","25,00 kr.","1","http://rillbar.dk/sites/default/files/images/audionauts-playing%20space-shuttles.jpg","Audionauts-Playing Space Shuttles","3074","7"""
"August Engkilde","Kaotic Brain / Beautiful Noise","BRUM001LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/August%20e%20kaotic.jpg","August Engkilde-Kaotic Brain / Beautiful Noise","3076","LP"
"August Engkilde","Kaotic Brain / Beautiful Noise","BRUM001CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/August%2520e%2520kaotic.jpg","August Engkilde-Kaotic Brain / Beautiful Noise","3075","CD"
"B.A.N.G.E.R.S","VIP EP","DVP027","45,00 kr.","1","http://rillbar.dk/sites/default/files/bangers.jpg","B.A.N.G.E.R.S-VIP EP","3077","10""EP"
"Baby Woodrose","Third Eye Surgery","AFROLP043","85,00 kr.","1","http://rillbar.dk/sites/default/files/images/baby_woodrose_third_eye_surgery1_grande.jpg","Baby Woodrose-Third Eye Surgery","3899","LP"
"Baby Woodrose","Third Eye Surgery","AFROLP043","85,00 kr.","1","http://www.youtube.com/watch?v=byu20Xkfq0U","Baby Woodrose-Third Eye Surgery","3899","LP"
"Baby Woodrose ","Chasing Rainbows ","AFROLP035","85,00 kr.","1","http://rillbar.dk/sites/default/files/BW-Chasing.jpg","Baby Woodrose -Chasing Rainbows ","3082","LP"
"Baby woodrose ","Blows Your Mind LP ","AFROLP020","85,00 kr.","1","http://rillbar.dk/sites/default/files/babywoodrose_blows.jpg","Baby woodrose -Blows Your Mind LP ","3079","LP"
"Baby Woodrose","Money For Soul ","AFROLP018","85,00 kr.","1","http://rillbar.dk/sites/default/files/images/Baby%20Woodrose%20%E2%80%93%20Money%20For%20Soul%20CD%20%28AFROCD018%29.jpg","Baby Woodrose-Money For Soul ","3085","LP"
"Baby Woodrose ","Love Comes Down ","AFROCD042","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/BW-LoveComes-Cover.jpg","Baby Woodrose -Love Comes Down ","3081","CD"
"Baby Woodrose ","Coming Around Again ","FRO046","28,75 kr.","1","http://rillbar.dk/sites/default/files/BW-coming.png","Baby Woodrose -Coming Around Again ","3084","7"""
"Baby Woodrose","S/T","AFROCD038","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/babywoodrose.jpg","Baby Woodrose-S/T","3557","CD"
"Baby Woodrose ","Kicking Ass & Taking Names","AFROLP047","85,00 kr.","1","http://rillbar.dk/sites/default/files/images/BW-kicking%20ass%20cover.jpg","Baby Woodrose -Kicking Ass & Taking Names","3083","LP"
"Baby Woodrose ","Kicking Ass & Taking Names","AFROCD047","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/BW-kicking%20ass%20cover.jpg","Baby Woodrose -Kicking Ass & Taking Names","3083","CD"
"BadboE","Break The Funk","AD011CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/badboe_breakthefunk_300w_web_jpg_300x306_crop_upscale_q95_0.jpg","BadboE-Break The Funk","3089","CD"
"BadboE","Dynamite EP","AD008EP","37,00 kr.","1","http://rillbar.dk/sites/default/files/badboe_dynamite.jpg","BadboE-Dynamite EP","3088","12""EP"
"BadboE","Pump Up The Funk","BBP-065","50,00 kr.","1","http://rillbar.dk/sites/default/files/badboe.png","BadboE-Pump Up The Funk","3086","LP"
"BadboE","Pump Up The Funk","BBP-065CD","50,00 kr.","1","http://rillbar.dk/sites/default/files/badboe_0.png","BadboE-Pump Up The Funk","3090","CD"
"Badboe","One Of Those Days EP","BBP-034","60,00 kr.","1","http://rillbar.dk/sites/default/files/badboe-ep.png","Badboe-One Of Those Days EP","3087","12"" EP"
"Badun","Last Night Sleep","MXMRLP076","75,00 kr.","1","http://rillbar.dk/sites/default/files/badun_lastnightsleep_300w_web__jpg_300x306_crop_upscale_q95_0.jpg","Badun-Last Night Sleep","3092","LP"
"Badun","Last Night Sleep","MWMCD03","75,00 kr.","1","http://rillbar.dk/sites/default/files/badun_lastnightsleep_300w_web__jpg_300x306_crop_upscale_q95.jpg","Badun-Last Night Sleep","3091","CD"
"Badun","Tandoori Tentacle","xmas001","50,00 kr.","1","","Badun-Tandoori Tentacle","3558","12"" EP"
"Barra Head","Go Get Beat Up","PLAY/REC16-V","55,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead_gogetbeatup_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head-Go Get Beat Up","3095","LP"
"Barra Head","Undermine/Gradiska ","PLAY/REC21-V","15,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead_undermine_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head-Undermine/Gradiska ","3094","7"""
"Barra Head","We Are Your Numbers","PLAY/REC27-V","30,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead_weareyournumbers_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head-We Are Your Numbers","3093","LP"
"Barra Head/Menfolk","Arrival/Are We Enemies","PLAY/REC13","30,00 kr.","1","http://rillbar.dk/sites/default/files/barrahead-menfolk_arrival_300w_web_jpg_300x306_crop_upscale_q95.jpg","Barra Head/Menfolk-Arrival/Are We Enemies","3096","12""EP"
"Beat Around The Bush","Kun En Smule Pr. Vers + Lidt Til","DVP028","35,00 kr.","1","http://rillbar.dk/sites/default/files/BATB-Kun1SmulePrVersOgLidtTilCDFront.jpg","Beat Around The Bush-Kun En Smule Pr. Vers + Lidt Til","3097","LP"
"Beat Me Up Baby","Pull The Trigger On My Gub","DVPLK02","40,00 kr.","1","http://rillbar.dk/sites/default/files/Beat_Me_Up_Baby_-_pressefoto_jpg_300x306_crop_upscale_q95.jpg","Beat Me Up Baby-Pull The Trigger On My Gub","3098","12""SINGLE"
"Beats In The Wood","S/T","NOV013","35,00 kr.","1","http://soundcloud.com/neh-owh-records/beats-in-the-wood-keep-it","Beats In The Wood-S/T","3099","12""EP"
"Beats In The Wood","S/T","NOV013","35,00 kr.","1","http://rillbar.dk/sites/default/files/beatsinthewoodfront.jpg","Beats In The Wood-S/T","3099","12""EP"
"Before The Show","Years & Years & Years","PONY37LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/before_the_show.jpg","Before The Show-Years & Years & Years","3101","LP"
"Before The Show","Years & Years & Years","PONY37CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/before_the_show_0.jpg","Before The Show-Years & Years & Years","3100","CD"
"Betting on the Mouse","BOTM","NA35","50,00 kr.","1","http://rillbar.dk/sites/default/files/betting-on-the-mouse-botm--_0.jpg","Betting on the Mouse-BOTM","3105","12"" EP"
"Betting on the Mouse","BOTM","NA36","35,00 kr.","1","http://rillbar.dk/sites/default/files/betting-on-the-mouse-botm--.jpg","Betting on the Mouse-BOTM","3103","CD-EP"
"Betting On The Mouse","S/T","QA005","75,00 kr.","1","http://rillbar.dk/sites/default/files/Betting-On-The-Mouse.jpg","Betting On The Mouse-S/T","3102","LP"
"Betting On The Mouse","S/T","QA005CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/Betting-On-The-Mouse_1.jpg","Betting On The Mouse-S/T","3104","CD"
"Beurre Noir","Black Trash Fontaine","FKRLP00313","80,00 kr.","1","http://rillbar.dk/sites/default/files/images/Black_Trash_Fontaine.jpg","Beurre Noir-Black Trash Fontaine","3106","LP"
"Bjørst","Blandt de levende","PLAY/REC39V","75,00 kr.","1","http://rillbar.dk/sites/default/files/bjoerst%2520cover.jpg","Bjørst-Blandt de levende","3107","LP"
"Black Light White Light","Director's Cut","RERE01","30,00 kr.","1","http://rillbar.dk/sites/default/files/DCcover-BlackLightWhiteLight-DirectorsCutEP-2010-300x300.jpg","Black Light White Light-Director's Cut","3110","7"""
"Black Light White Light","Infrared Daylight","RERE02","100,00 kr.","1","http://www.youtube.com/watch?v=MIcNsjh_1tg","Black Light White Light-Infrared Daylight","3109","12""LP ltd."
"Black Light White Light","Infrared Daylight","RERE02","100,00 kr.","1","http://rillbar.dk/sites/default/files/cover-BlackLightWhiteHeat-InfraredDaylight-2011-300x300.jpg","Black Light White Light-Infrared Daylight","3109","12""LP ltd."
"Black Light White Light","Infrared Daylight","RERE03","75,00 kr.","1","http://rillbar.dk/sites/default/files/cover-BlackLightWhiteHeat-InfraredDaylight-2011-300x300_0.jpg","Black Light White Light-Infrared Daylight","3108","12""LP"
"Black Pus","All My Relations","T HRILL322LP","75,00 kr.","1","","Black Pus-All My Relations","3559","LP"
"Black Rose Trick","Love Glove","VGR001","60,00 kr.","1","","Black Rose Trick-Love Glove","3111","CD"
"Blända","Nico","FP0033","45,00 kr.","1","","Blända-Nico","3560","CD"
"Blända","Minnesmissbruk","FP0039","60,00 kr.","1","","Blända-Minnesmissbruk","3561","CD"
