Album titel,Brødtekst,SKU,Pris,Udgivet,Selskab,Attribute,Value,Nid,Lager,Oprettelsesdato
ALARM 112 - ALARM 112," <p>Alarm112 blev dannet i 1995, og orkesterets unikke lydunivers er udviklet i en fortløbende proces, udfra arbejdet med kasualisme og grundforskning i lyde og støj. Metoden er fri improvisation, og der benyttes såvel akustiske, elektriske som elektroniske instrumenter, ialt 123 ifølge den originale pressemeddelelse. Men det afgørende er ikke hvad man hører, men hvordan det lyder. Det er en spraglet, søgende og swingende CD, der i videre perspektiv kommer til at fokusere på, hvordan man egentlig forholder sig til lyd, både som musiker og lytter. Den afdøde amerikanske avantgarde komponist John Cage er ikke nævnt på coveret, men hans ånd og anarkistiske lydfilosofi er alligevel i den grad til stede i musikken.</p>
<p>Cover af Søren RaagaardUdgivet maj 1998AV-Art records AACD 1005</p>
 ",AACD 1005,"50,00 kr.",1,Av-Art,Format:select:1,CD:1,3039,4.00,2014-08-08
Alcoholic Faith Mission - 421 Wythe Avenue," <p>To ordbøger hamres sammen, lyden vibrerer igennem mikrofonen til computeren og bliver elektronisk masseret til stortromme over højtalerne. Musikkollektivet Alcoholic Faith Mission – mismodets praktikanter – har trukket en musikalsk spændetrøje over hovedet til indspilningen af deres andet album; dogmet lyder, at de kun må bruge de remedier, der er i rummet, som instrumenter. Efter en anmelderrost første plade (Misery Loves Company, 2006) optaget i et soveværelse i København – altid om natten, i skæret fra stearinlys og under indtagelse af alkohol - drog Alcoholic Faith Mission i 2008 til Brooklyn. Her burede de sig i et halvt år inde på et ombygget fabriksloft for at optage deres anden plade 421 Wythe Avenue – adressen på fabriksloftet – med kvarteret gadestøj som ramme. Da musikkollektivet rejste til Brooklyn, vendte de tilbage til det kvarter, hvor bandets historie opstod. To år tidligere havde bandet vandret rundt i Brooklyns rå, vintergrå gader og talt om magt og afmagt, beruselse og alkoholisme, om nære familiemedlemmers våde deroute, da de pludselig så et stort neon-kors foran en menighed med navnet Apostolic Faith Mission. Netop sådan var sprutten for alkoholikeren, en tro mission for at holde en tom tilværelse ud; en Alcoholic Faith Mission. Det blev et halvt år efter til den underspillede debut Misery Loves Company, hvis lyd er blevet sammenlignet med José Gonzalez og Iron & Wine. Den aktuelle plade har med Brooklyn-opholdet givet Alcoholic Faith Mission et mere støjende elektronisk islæt inspireret af Brooklyn - og især den alternative canadiske rockscene i Toronto, herunder Broken Social Scene.</p>
 ",PONY21CD,"40,00 kr.",1,Ponyrec,Format:select:1,CD:1,3042,15.00,2014-08-08
Alcoholic Faith Mission - Let This Be The Last Night We Care," <p>Mindre end et år efter udgivelsen af det anmelderroste album 421 Wythe Avenue er indiekollektivet Alcoholic Faith Mission klar med deres 3. album; Let This Be The Last Night We Care. 2009 blev året, hvor Alcoholic Faith Mission fik hul igennem. Fra at være totalt ukendte før udgivelsen af 421 Wythe Avenue i april ’09, kunne gruppen bare ni måneder senere ved årets afslutning se tilbage på tre succesfulde ture i Europe og spritnye pladekontrakter i Japan og USA. Udover at få fire numre på soundtracket til en canadisk film, havde knap 10.000 bloggere og musikjournalister fra hele verdenen taget bandet og pladen til deres hjerter – og de fine anmeldelser sendte 421 Wythe Avenue på mange Års Bedste-lister rundt omkring på kloden. Let This Be The Last Night We Care fortsætter lydmæssigt, hvor 421 Wythe Avenue slap; stadig med intensitet og dynamik, som både er blevet sammenlignet med bands som Arcade Fire og Broken Social Scene, men også med mere bløde acts som Bon Iver, Tunng og Iron & Wine. Alcoholic Faith Mission er en maskine af elektroniske synths og samples blandet med analoge og akustiske instrumenter som horn, guitar, perkussion, bas, trommer og store vokalarrangementer. 2009 var et fantastisk år for Alcoholic Faith Mission, og det bliver spændende at se hvordan 2010 vil forløbe. Let This Be The Last Night We Care udkommer 5. marts, og foruden to ture i Europa kommer bandet senere på året til både Japan og USA.</p>
 ",PONY29CD,"40,00 kr.",1,Ponyrec,Format:select:1,CD:1,3044,29.00,2014-08-08
Alcoholic Faith Mission - Let This Be The Last Night We Care," <p>Mindre end et år efter udgivelsen af det anmelderroste album 421 Wythe Avenue er indiekollektivet Alcoholic Faith Mission klar med deres 3. album; Let This Be The Last Night We Care. 2009 blev året, hvor Alcoholic Faith Mission fik hul igennem. Fra at være totalt ukendte før udgivelsen af 421 Wythe Avenue i april ’09, kunne gruppen bare ni måneder senere ved årets afslutning se tilbage på tre succesfulde ture i Europe og spritnye pladekontrakter i Japan og USA. Udover at få fire numre på soundtracket til en canadisk film, havde knap 10.000 bloggere og musikjournalister fra hele verdenen taget bandet og pladen til deres hjerter – og de fine anmeldelser sendte 421 Wythe Avenue på mange Års Bedste-lister rundt omkring på kloden. Let This Be The Last Night We Care fortsætter lydmæssigt, hvor 421 Wythe Avenue slap; stadig med intensitet og dynamik, som både er blevet sammenlignet med bands som Arcade Fire og Broken Social Scene, men også med mere bløde acts som Bon Iver, Tunng og Iron & Wine. Alcoholic Faith Mission er en maskine af elektroniske synths og samples blandet med analoge og akustiske instrumenter som horn, guitar, perkussion, bas, trommer og store vokalarrangementer. 2009 var et fantastisk år for Alcoholic Faith Mission, og det bliver spændende at se hvordan 2010 vil forløbe. Let This Be The Last Night We Care udkommer 5. marts, og foruden to ture i Europa kommer bandet senere på året til både Japan og USA.</p>
 ",PONY29LP,"40,00 kr.",1,Ponyrec,Format:select:1,"12"" LP:1",3044,0.00,2014-08-08
Alcoholic Faith Mission - We Stop The World From Falling Apart," <p>Siden 2009 har Alcoholic faith Mission udgivet 3 albums og 1 EP. Da bandet i 2013 indgik forhandlinger med det hæderkronede tyske pladeselskab Haldern Pop Recordings (Soundtrack of Our Lives, Shout Out Louds, William Fitzsimmons o.m.a) opstod lysten til at kigge tilbage på disse 3 albums og forsøge at finde en fælles lyd for alle disse sange. Der var en lyst til at genoplive udviklingen fra ""412 Wythe Avenue"" og optage-dogmerne fra indspilningen af ""Ask Me This"" med en topproducer i bag knapperne.</p>
<p>Jobbet blev lagt i hænderne på Brian Batz (Sleep Party People og Scarlet Chives) og Alcholic Faith Mission er mere end tilfredse med resultatet. Musikken er nu tættere end nogensinde på det udtryk som bandet har opnået gennem deres mere end 200 koncerter i Danmark og udlandet. </p>
 ",HPR-081,"75,00 kr.",1,Ponyrec,Format:select:1,CD:1,3043,9.00,2014-08-08
Alcoholic Faith Mission - Ask Me This,,Pony36LP,"75,00 kr.",1,Ponyrec,Format:select:1,"12"" LP:1",3040,8.00,2014-08-08
Alex Banks - Illuminate," <p>Alex Banks er det nye vidunderbarn på Monkeytwon, som har udtalt er det er meget sjældent at de signer en deal på tre albums ud fra en anonym demo de har fået tilsendt. Men det er altså tilfældet med Alex Banks som netop har udgivet første album i rækken. Alex Banks lyd er meget følelsesskabende, men samtidigt også energisk og fremadrettet og vil på en gang kunne tiltale både fans af Dubstep samt Techno, mens Moderat fans også vil kun finde en tilfredstillelse i albummet. Sangerinden Elisabeth Bernholtz medvirker på flere af albummets numre og medvirker til at give det en dynamisk og organisk lyd. Hendes lyd minder til tider om Beth Gibbons, og første-singlen ""All You Could Do"" lyder da heller ikke helt ulig Portishead, måske i en lidt mere udadvendt og ungdommelig udgave.</p>
 ",MTR043LP,"90,00 kr.",1,MONKEYTOWN,Format:select:1,2 x LP:1,3045,2.00,2014-08-08
Amalie Riis - Safe and Sound," <p>Den 15. april 2008 udgav singer/songwriteren Amalie Riis sit andet studiealbum ”Safe and Sound” på pladeselskabet Songcrafter Music. 22-årige Amalie Riis, oprindeligt fra Ebeltoft, har spillet sine egne sange live, siden hun flyttede hjemmefra som 16 årig. I 2005 udgav hun debutalbummet ”Places Where We Go”, en plade der vidnede om et stort musikalsk talent og en usædvanlig sangstemme. Dagbladet Information skrev bla.: ”....den purunge Amalie Riis, der alene med sin guitar og lidt skrøbelige stemme hæver sig klasser over den linde strøm af ensomme kvinder med guitar, der fulgte efter Tina Dickow...” Hun har siden spillet en lang række koncerter i både Danmark, Sverige, Tyskland og USA - senest en meget vellykket koncert-turné i Holland - og er kendt som en meget overbevisende live-artist. Den nyeste plade ”Safe and Sound” befinder sig musikalsk et sted imellem pop, folk, og americana. Musikken er engelsksproget og inspireret af rejser til USA, livets store og små underfundigheder og af sangskriver-helte som Carole King og James Taylor. I løbet af sommeren 2008 opdagede reklameselskabet Mitsuboshi&Co Amalies musik og bestilte hende prompte til at indsynge lydsporet til en reklamefilm. Fjernsynskanalen DK4 optog også en koncert med Amalie og Band, live i studiet, ligesom flere og flere fik øjnene op for det unge talent, gennem radioens P4, hvor blandt andet sangen ”I Think I Love You” fra ”Safe and Sound” blev playlistet. Albummet er produceret af Morten Maltesen i Lundgaard Studios. Lyt til musikken og læs mere på : <a href=""http://www.myspace.com/amalieriis"">www.myspace.com/amalieriis</a></p>
 ",SCM005,"81,25 kr.",1,Songcrafter Music,Format:select:1,CD:1,3046,3.00,2014-08-08
Amalie Riis - Blueprint," <p>På Amalie Riis’ nye EP ’Blueprint’ får vi en håndfuld sange, der hver især fortæller en historie om menneskelige tilstande. Tunge emner som misundelse, tab, sorg, utilstrækkelighed og selverkendelse bliver smidt på bordet. Men leveres i en selvironisk, finurlig tone, ofte med en kombination af humor og sårbarhed. ”Mine sange er som ukrudt,” siger Amalie. ”De vokser altid frem, der hvor der ikke rigtigt er tid eller plads til dem, de insisterer på at være der, og de dukker op i fuldt flor, lige meget om de bliver plukket eller ej. Jeg tror på, de har skrevet mig og ikke omvendt.” Amalie mødte ved en tilfældighed producerne David Elberling og Rasmus Glendorf, og efterfølgende blev hun introduceret for deres arbejdsmetode: ’artisten-ud-af-huset.’ Dvs., at hun har afleveret alle sangene i studiet, kun med akkorder og sang, og efterfølgende har de to haft helt frie hænder til at give deres skud på, hvordan musikken omkring skulle formes. Uden Amalie. ”Det har været sjovt og grænseoverskridende - fordi jeg er lidt af en kontrol-freak. Men det var virkelig, hvad jeg havde brug for, for at komme videre med mit udtryk og ud af en kasse, som jeg havde følt mig fanget i,” lyder det fra Amalie Riis.</p>
 ",SCM017,"40,00 kr.",1,Songcrafter Music,Format:select:1,CD:1,3047,4.00,2014-08-08
"Amazing, The - The Amazing"," <p>Stockholm-bandet The Amazing opstod under forskellige jamsessions og har med tiden udviklet sig til et enstemmigt folk-rock popkollektiv. Sangeren og komponisten Christoffer Gunrup har en fortid i Granada, Reine Fiske og John Holmegard har ikke mindst gjort sig bemærket med bandet Dungen. Derudover har The Amazings bandmedlemmer spillet med navne som Anna Jarvinen, Sagor & Swing og Dreamboy.</p>
<p>Debutalbummet, der er bredt og spænder over alt fra svingende elektrisk folk-rock, via psykedelisk pop til sprøde og fine akustiske ballader, fik en meget flot modtagelse af både den svenske og danske presse.</p>
 ",XMLPSUB34,"100,00 kr.",1,Subliminal Sounds,Format:select:1,"12"" LP:1",3049,1.00,2014-08-08
"Amazing, The - Wait For A Light To Come"," <p>Jag skulle kunna rabbla på om att The Amazing är en svensk supergrupp med medlemmar från Dungen, Anna Järvinen, Träd Gräs och Stenar m.fl.. Jag skulle kunna orera om Christofer Gunrups själfulla röst och Reine Fiskes magiska gitarrspel. Jag skulle kunna linda in deras framträdanden i så vitt skilda kontexter som The Fader TV och TV4 Nyhetsmorgon i små säljande fraser. För att sedan dra krystade paralleller till de senaste årens populärkulturella vurm för afrobeat och djup själfull house, allt på grund av ett par helt magiska congas. Kanske skulle jag avsluta det hela med en krystad analys värdig en gymnasist som blivit kär i popmusiken för första gången. En analys fylld av mer eller mindre horribla misstolkningar av The Amazings texter. Allt med syftet att få er att lyssna på deras nya minialbum. Men jag väljer att inte göra det. För er precis som för The Amazing handlar det om bra musik och den kärlek vi hyser till vad den gör med oss. Musik skapad av glädje och lust, som finns där för att du tycker att musik är det bästa som finns. Toner frammejslade av personer som pusslat om sitt vardagsliv för att kunna göra det som får dem att orka fortsätta andas i vår cyniska samtid. Människor som spelar och lyssnar på musik för att deras liv hänger på det. Folk som ägnar mer tid än vad som förmodligen anses som hälsosamt av den stora massan framför gamla musikklipp på Youtube. Om du känner så, om musiken har tagit en oproportionerligt stor del av ditt liv, då tycker jag att du ska nyttja informationen nedan, lyssna, beröras och bilda dig en egen uppfattning. Om inte, så kan du lugnt fortsätta twittra, lyssna på Spotify eller göra det som du gjorde innan vi tog din tid i anspråk. The Amazing består av Christoffer Gunrup (ex-Granada), Reine Fiske (Dungen/Anna Järvinen/Träd Gräs och Stenar), Johan Holmegard (Dungen/Life on Earth!/The Works) och Fredrik Swahn (Anna Järvinen/Dreamboy).</p>
 ",SUB069LP,"95,00 kr.",1,Subliminal Sounds,Format:select:1,"12"" LP:1",3048,2.00,2014-08-08
"Amazing, The - Wait For A Light To Come",,FP0048,"60,00 kr.",1,Fashion Police,Format:select:1,CD:1,3553,19.00,2014-08-08
"Amazing, The - Deportation Day",,FP0038,"10,00 kr.",1,Fashion Police,Format:select:1,CD:1,3551,3.00,2014-08-08
"Amazing, The - Dragon",,FP00xx01,"10,00 kr.",1,Fashion Police,Format:select:1,CD:1,3554,3.00,2014-08-08
"Amazing, The - The Amazing",,FP0035,"60,00 kr.",1,Fashion Police,Format:select:1,CD:1,3552,19.00,2014-08-08
Amdi Petersens Armé - S/T,,HS17-LP,"81,25 kr.",1,Hjernespind,Format:select:1,"12"" LP:1",3050,0.00,2014-08-08
American Football - American Football,,PRC-025LP,"70,00 kr.",1,Polyvinyl Records,Format:select:1,"12"" LP:1",3051,-1.00,2014-08-08
Anchorless - Anchorless," <p>Det københavnske band, Anchorless, er nyt, men medlemmerne er så absolut ikke ukendte på den alternative danske musikscene. Anchorless tæller medlemmer fra The Fashion, Lack, The River Phoenix, Rising, Gravy, Trust og Little Jimmy Reeves. Sekstetens  musikalske retning er simple guitarbårne sangstrukturer med erklæret fokus på umiddelbarhed og stærke, men særegne melodier. Stilmæssigt bliver der lånt fra rock, pop og indie og sågar en lille snert af punk. Bandets selvbetitlede debut-EP udkommer den 30 maj på 12” vinyl og derudover vil Ep’en blive tilbudt som gratis download fra bandets MySpace side og fra <a href=""http://www.PonyRec.com"">www.PonyRec.com</a>. Anchorless er: Jacob Ankjær Johansen (Lack, The Fashion) Jakob Reichert Nielsen (Lack) Nikolaj Wichmann (The River Phoenix) Henrik W. Hald (Trust, Rising) Daniel Kruse (Gravy) Jan “Damage” Petersen (Gravy, Little Jimmy Reeves)</p>
 ",PONY30LP,"40,00 kr.",1,Ponyrec,Format:select:1,"12"" EP:1",3052,8.00,2014-08-08
Anchorless - Every Nook and Cranny," <p>Anchorless er for Play/Rec et nyt bekendtskab og samtidig et solidt nik tilbage til fortiden, når flere medlemmer tidligere har stået bag nogle af de mest betydningsfulde udgivelser på Play/Rec. Bandets medlemmer har dog ikke kun slået deres folder i Play/Rec regi, og samlet set består Anchorless af rutinerede kræfter fra en række mere eller mindre fremtrædende bands på den alternative musikscene, både i Danmark og internationalt (Lack, Trust, Rising, The Fashion, The River Phoenix m.fl.).</p>
<p>Også musikalsk formår Anchorless med deres debutalbum at blande nyt og gammelt via en nutidig, frisk og energifyldt sammensmeltning af udtryk fra nogle af de sidste mange års mest markante alternative popbands. Anchorless er således først og fremmest et band, der spiller nogle virkelig iørefaldende sange i stil med eksempelvis The Shins, R.E.M. og The Smiths. Anchorless udgav sidste år den selvbetitlede Anchorless EP på henholdsvis vinyl og som gratis download. Pladen er downloadet flittigt og bandet har allerede i deres relativt korte levetid spillet koncerter i det meste af Europa og Danmark og dette sammen med en række bemærkelsesværdige bands (The War On Drugs (US), The Black Heart Procession (US), The Smith Westerns (US) og Kashmir (DK)).</p>
<p>I sommeren 2011 begyndte Anchorless arbejdet på deres debutalbum. Et arbejde som de selv tog fuld kontrol over. Jakob Reichert Nielsen fra Anchorless har gennem de sidste år opnået stor anerkendelse for hans arbejde med produktionen af plader med bl.a. Rising, Lack, Trust og Obstacles og derfor var det helt naturligt, at det var ham, der skulle stå for optagelser og mix af pladen. Her, et halvt år senere, er de nu klar med deres første fuldlængde. Pladen udgives d. 6 februar, 2012 med titlen ""Every Nook and Cranny"".</p>
<p>Ni numre indspillet med energi og passion og en plade, der ikke er bange for at sværge til den gode pop-sang. Albummet har i sidste ende været forbi Brian Mørk Hansens kyndige ører og han har med en nænsom mastering fået det sidste presset ud af pladens riller. Artwork er på smukkeste vis udført af Nicolaj Bejder fra Bemerk (Kashmir, Kitty Wu etc.) ANCHORLESS: Henrik W. Hald (Sang) Jan Petersen (Kor & keys) Jacob Ankær Johansen (Guitar) Jakob Reichert Nielsen (Guitar) Nikolaj Wichmann (Bas) Daniel Kruse (Trommer)</p>
 ",PlayRec 41,"75,00 kr.",1,Play/Rec,Format:select:1,"12"" LP:1",3555,19.00,2014-08-08
