"Kunstner","Album titel","SKU","Nid","Format","attribute"
"Solbrud","Vemod","Indisc18","4339","12"" LP:1","Format:select:1"
"Solbrud","Vemod","Indisc18CD","4339","CD:1","Format:select:1"
"Quick Quick Obey","Realistic Friendship","ANPH010-2","4338","12"" LP:1","Format:select:1"
"Den Stora Vilan","Utsikt Mot Havet","GAP078","4337","2 x LP:1","Format:select:1"
"The Dahmers","In the Dead of the Night","LLY021","4336","12"" LP:1","Format:select:1"
"Den Stora Vilan","Förvandling","GAP030","4335","12"" LP:1","Format:select:1"
"Rotten Mind","I'm Alone with You","LLY001","4334","12"" LP:1","Format:select:1"
"Maidavale","Tales of the Wicked West","CRC005","4333","12"" LP:1","Format:select:1"
"The Dahmers","Demons","LLY003","4332","12"" LP:1","Format:select:1"
"Demon Head","Thunder on the Fields","CRC006","4331","12"" LP:1","Format:select:1"
"In Memoirs","Love, Dreams & Sunsets","CELEBREC10LP","4330","12"" LP:1","Format:select:1"
"One-Eyed Mule","The Black Tornado Sessions","GRABLP0117","4327","2 x LP:1","Format:select:1"
"First Hate","A Prayer For The Unemployed","ESC83","4326","12"" LP:1","Format:select:1"
"Dark Times","Dark Times","SCR008","4325","7"":1","Format:select:1"
"Årabrot","For Lack of Discipline You Will Die","SCR005","4324","7"":1","Format:select:1"
"Foammm","Dive Into The","SCR006","4323","12"" EP:1","Format:select:1"
"Outer Limit Lotus","Cruising the Old World","SCR007","4322","12"" Minialbum:1","Format:select:1"
"Dark Times","Give","SCR004LP","4321","12"" LP:1","Format:select:1"
"Baby Woodrose ","Love Comes Down ","AFROLP042","3081","12"" LP:1","Format:select:1"
"Baby Woodrose ","Love Comes Down ","AFROCD042","3081","CD:1","Format:select:1"
"Baby Woodrose","S/T","AFROLP038","3557","12"" LP:1","Format:select:1"
"Baby Woodrose","S/T","AFROCD038","3557","CD:1","Format:select:1"
"The Bronson Brothers","A Taste of Salt","BBRLP006","4320","12"" LP:1","Format:select:1"
"The Bronson Brothers","A Taste of Salt","BBRCARD006","4320","Band Cards:1","Format:select:1"
"The Bronson Brothers","A Taste of Salt","BBRCARD006+BBRLP006","4320","Band Cards + LP:1","Format:select:1"
"Dør nr. 13","Krigere uden Vaaben","NA601","4316","12"" EP:1","Format:select:1"
"Bellhound Choir","Worried Kid","salbar2017","4315","12"" LP:1","Format:select:1"
"Darling Don’t Dance","Pediophobia","ULTRA0117","4314","12"" LP:1","Format:select:1"
